videoId,title_sentiment,description_sentiment
Ttc4Jbe4rcU,0,0
IEgnICSAHfw,0,0
kHz6xlrPhWQ,0,0.1531
v8b6wUiIp0c,0,0.253
4F3NbysW4KU,0,0.6515
4gyg3WQfls8,0.3818,0.8095
FeoAcLASeoQ,0.4404,0.7438
Z52vkLDI4qE,-0.6808,-0.6875
A_KEozEMGmU,0,0.8834
IsWuSKuTohk,0,0
ycVKJAjTGWU,-0.5859,-0.94
P90GsyVIhXw,-0.4404,0
jAgKtC1XUEU,0.5423,0.995
szGPYjoXesE,0,-0.3328
pjjH2dGGwwY,0,-0.6037
Lw2anI3J1eQ,0,0.8834
mBeX85dGdxU,-0.3818,-0.5754
Crdza5YdpJw,0.3182,0.9649
iju6KahPHTg,0,0.6166
Jh-_yb3lroY,0,0.9565
8Cvimei3SeE,0,0.866
YD5LAkY6ZLA,-0.3818,0.8232
-0Xop7RFvtA,0.3182,0.9364
IIVaw9aG56E,0,0.8647
0od9GnumjB0,0.0516,0.6408
1xO0TNqlZjE,0.3818,0.9141
5bUCrXzPavY,0,0.6166
uRyqep9KVd0,0,0.8286
GXjrMhM_irI,0,0.8964
OV3_XLj_pTQ,-0.4767,-0.073
k6VEGPQV81A,0,0.6166
saJuQxpIuHE,0.2263,-0.0431
Wb2jQwNfj1A,-0.4019,0.2342
UI81HzaPQ94,0,0
DWjqyLnIDvM,0,0
Uv1PBqN_FCk,0,0
KSGrg5qK_R4,0,0
ASLZXjiuOEo,-0.5574,-0.8957
ZkKhe286gXU,0,0.9334
hxILtQDzc44,0,0.8934
dTp_SzS06Cg,0,0.8888
tkrLYrmArjc,-0.372,0
8M41eZjEBvE,-0.1779,0.8971
aNvC-g0bAvs,0,0
B70eG2L3sPY,0,0
3D56slXckQ8,0,0
1Re9PASzYIo,0.4215,0
3V004uZ55Bw,-0.1531,0.9452
-gKsS679Gg8,0,0
7GCM3dSY5X8,-0.1531,0.8011
BtyY85EmFhs,0.3182,0.9554
kKIfGVY-7Xs,0,0.4019
0eRG0rYBx9M,0,0.7003
RcILmS8IXYA,0,0
Ijp42jChlIs,-0.34,-0.9378
I1qjKWRN5_M,0.25,0.8834
IBgvbajBD-o,0.296,0
xj1GeguKVVU,0,0.8834
EOQ5PmnAQnM,0,0
L4EluvDbVD0,0.6908,0.9694
OI7aVid3qbw,0.1027,0.1027
J10lqF-3Ibo,0.4389,0.9928
z4syEU68bWI,0,0.8834
EQvyVDDsLyI,0,0
eBGzWZjW1UY,0,0
QOnAH-R5tvY,-0.7506,0.9176
fOnGtUFBZkg,0,0
cHphusb6-rA,0,0
RbBGlY5P-94,-0.5255,0.4359
UFqV3CWlWUw,0,0
jwi-SudgH1Y,-0.5267,0
nqc3L8wblFk,0.4019,0
OwFiyw5UM_U,0,0
2V1MBCCMRH4,-0.296,0.992
arg_aHzviQw,0,0.9507
72aLGw1-jm4,0,0.9846
0vJlJ--zBY4,0,0.8468
B8qrLqA6GIM,0.5423,0.5423
TIOO85C1zdA,-0.5574,-0.4039
9wouMnNet1Y,0.4574,0.9971
hiUq1meX0pM,0,0.9451
QVw_IQXInQk,0,0
jzGvj22jqbM,0,0.3182
kXrVzMfGpLw,0,0
gNPXjsDVEic,0.368,0
QQXsknBbcG0,0,0
5zARzHddnWc,0,-0.3094
Sobo1P7WhuI,0,0
DwlVSAsVbqg,0,-0.9485
9MmIUC8EEJQ,0.8176,0.9884
0geLyQ3eqY0,0,0
G8H8veT8AkA,0,0.9708
fKwsmoT8v60,-0.4939,0.7639
6ly5MdBC5KE,-0.5719,0.9451
wB-P1Xj4JPM,0,0.9451
PvDLnLyQ8Qs,0,0
QImYw0fuD04,0.2944,-0.9754
DugSmWglhS0,0,0
z5g1TsT3CSw,0,0.4003
1KdZzXKkI4w,0,-0.5191
LEjqfOKiGWE,0,0.6369
sp4CWdhvp4g,0.5106,0.9679
JN3Ix_GSguc,0,0.0258
ZVZ27t73jQk,0,0.8967
SIVYPWq4Uv0,0,0.8658
R5MSW4HW65A,0.3612,0.8115
8ONK5uBFflA,0,0
5A5p7iGl0i4,0.6892,0.9808
J-wFp43XOrA,0,0.97
lSZqC-Nezlw,0,0
V6NZ9wXU1Ug,0,-0.7783
Qf3QOf4k-cs,0,0
IWkIwShGF8g,0.4588,0.9708
lNpZn4xbI1o,0,0.5719
M-wKrI9OytM,-0.5106,-0.5913
ToWnRWxbdP0,0,0.9451
5ILe7ftbDKw,0,0.4404
R5n2kUeXR6A,0,0
hOqvRZiuX6E,0.34,0.34
1ZYbU82GVz4,0.7717,0.9978
AfsgOfl_2J8,0,0.7184
7SFg7l43cFk,0.6825,0.9809
7M_v5KqAS8I,0,0.7184
FCu2EcEZazo,0,0.9571
cnmdo9F2CTo,0,0.6408
V4D--V3Ohts,0,0
cXT2yudsAto,0,0
sZlS1ywKKYo,0,0.7096
14WyekuRUGU,-0.3818,0.4019
synABq65S3A,0,0
-RSWlVBKNTE,0.4215,0
gSfRnOYOj6s,0,0.4421
3X6I3_X_Ox0,-0.128,0.5859
e4aVdtQjbWw,0,0.8016
kK49Fwxt4-I,-0.296,0.9868
vPtYYlsb2yA,0,0
_6CMeLd3fbs,0,0.0516
8m3t9Ct1KZY,0.5562,0.9859
p3A5hv7tHeM,0,0.6331
hE6OjTiMY3o,-0.5574,-0.9468
