channelId,channel_commentCount,channel_viewCount,channel_videoCount,channel_subscriberCount
UCH9ciCUcWavMsFcAJtLUSyw,18592,516845563,473,4346356
UC2W9a0NxbBD53ivsdsnG6SQ,284,75816459,1386,321976
UCfTNi4KNqz1lCu10f4EGfLg,0,33910,2,98
UC07Wp57tSv3R4tKObraD1vw,0,417014,62,9385
UCa-1gC6o7dAz0Psw1onpQ8g,0,39691970,282,202652
UCFHT70OjmnHVPq2E8FRms6A,16,21816892,384,52515
UCVm_KHSjL9cu2eXtVlqZgyQ,0,2268457,389,8218
UCl9Sqgbs6w7pZMWr4yRPjiA,0,50207865,508,80062
UCvDQeVZ_xAKA2rKH3XUKk-g,0,164248552,528,234275
UCgPClNr5VSYC3syrDUIlzLw,175,1534867140,8172,2123195
UCKpVosUnfAkvqksEwo3yoOg,12,802942,60,8668
UCPsPQwDn72V7SwukMRNMIgQ,0,2432,6,7
UCH1C9rrPaVGlaeeAdhCxqjQ,1,186902319,663,241513
UCJF_wq1QENwV_pjHr9Mad0g,282,81972759,78,138182
UCxn2-sH0UWF4IN9MozY5b2w,0,0,123,550
UC7yvd5_4i8LhcV0kbIWQa1Q,0,3002041,2,5662
UCToZTtSLYLyRV5xwUcAa9Kg,0,175993106,8994,348281
UCUyGfgvkPXfV80exjZIqmVQ,0,2165655,413,33050
UCjMMcARAvguq2rW-dZo_NPA,0,1019653,109,2301
UCKKr45VIXGdSycr4he8wnQg,0,1622718,107,2469
UCAwuAYBCPm7l-Drg7rktLhQ,0,37604934,166,169621
UCvm_nb6sZmHfmtW6emM2voA,9,1668842,74,3102
UC6ITf8P30LxB2ybNhWSb3Sw,0,2939780,37,9077
UCvkGOw5JmJ3TPdXNiEFwq6Q,0,1661848,170,20629
UCte-Y3yjMQ1iKD7uhUaIlpQ,0,104,338,3432
UCJ3rNy5aZaiHXX2eVEkhPcA,0,1921,5,9
UCM4nHRWzIYhwzEk1jMMCu9w,0,40086,221,444
UCM4nHRWzIYhwzEk1jMMCu9w,0,40086,221,444
UC_oRpIBYTnjZx24Z0sOQnNw,0,49,20,0
UCu-qQNeaTJpbWB-NayPsABg,0,1455281619,69,1984432
UCuLweiciRC8jfM2Ik4ygb0w,0,1584601,54,3495
UC5grL03qtTFvgeqTXK8hjHg,29,5905567,507,15510
UCEfokWv0nE6EfaKbDyjMVTg,1,168477,49,591
UCYM4eGFwdeKhkpLZSGD7TAA,0,12375,9,95
UCcErF0JgsrEk7BinDp1zWHw,0,4060,26,101
UCaClpu0lPW71P_irvSNU6KQ,0,20,2,0
UCCKuI8pJk_BaPI8kEuk9J2A,0,491,30,4
UCrayz50AwPyHF00rkKBRFFg,0,376147,937,2197
UCxy4Apk-yI9LL1fyLL2vwnQ,0,8,2,0
UCbTLwN10NoCU4WDzLf1JMOA,3780,3367491498,3509,4835713
UC5fxtOYF2fukJrBa5O5WA5w,0,31969561,137,183071
UCJY1JCVsIgVgN5ePERZ_Upg,0,20524860,7925,71648
UC1oGdxPO0dqrj31V9DIDHAQ,0,1151,6,14
UCgLwLLj6WAsQa41JPFVQgtg,0,45146,31,39
UCJY1JCVsIgVgN5ePERZ_Upg,0,20524860,7925,71648
UCuqf-iuWOE-_VKT4r6SFLFA,0,367320,366,494
UCFw0BPxgu6IY7Og104Pdt0A,0,62,10,4
UCgLwLLj6WAsQa41JPFVQgtg,0,45146,31,39
UCFw0BPxgu6IY7Og104Pdt0A,0,62,10,4
UCj22tfcQrWG7EMEKS0qLeEg,0,105914629,118,927164
UCHIvqVw3yqnixDZvAXgvGFA,0,123738,2,171
UCyuLqGhkwhmiKuqB41IAUog,0,10497208,66,0
UCuqf-iuWOE-_VKT4r6SFLFA,0,367320,366,494
UCUh-JaqgVO1s29x6e49tHCw,0,26487996,796,0
UCxn2-sH0UWF4IN9MozY5b2w,0,0,123,550
UCP68YooVxcJnbzlA0bXDazg,0,4926296,340,5304
UCHz4F23_8myqEtJIcd0no8A,0,11741,19,31
UCRCU-cayVgUUcUwH4Er18mg,0,218404,116,542
UCDhvIGnqpV4Zy3RAPnZOxvQ,0,0,25,37
UCkrtMVy3Itt6hLHlU2GDOuw,0,20074465,4,10844
UC8AuKjbIN30o7tdLijsab-w,0,1388059,149,4564
UCucb_hU6FxVxrt18Edg_Oog,0,11193,7,369
UCR8iFnt9-D97hDuZr_UF36Q,0,1018728,23,15224
UCgAGymyQPjVXplOIdUJnv0g,904,70901356,1739,77332
UCR8iFnt9-D97hDuZr_UF36Q,0,1018728,23,15224
UCgAGymyQPjVXplOIdUJnv0g,904,70901356,1739,77332
UCMJ4jd0OXIjnmHWN_UhT2Vg,0,4,167,0
UCXj8boajMsvSg3XLsswZjgw,0,40635,63,0
UCRCU-cayVgUUcUwH4Er18mg,0,218404,116,542
UCP68YooVxcJnbzlA0bXDazg,0,4926296,340,5304
UCMJ4jd0OXIjnmHWN_UhT2Vg,0,4,167,0
UCMJ4jd0OXIjnmHWN_UhT2Vg,0,4,167,0
UCt7Prw97_jb8oAlKnO3oVcQ,44,1228605603,1005,1048978
UC5ozefLnBQnm78mss5Y9_4g,0,1597913,45,4521
UCJ4EEp5mSEo5GQIx3OIhD7g,0,209348422,921,356002
UCCRlXLJ5xZ8SvYRJ0jCLryQ,0,736754,47,6922
UCMJ4jd0OXIjnmHWN_UhT2Vg,0,4,167,0
UCP68YooVxcJnbzlA0bXDazg,0,4926296,340,5304
UCBE3fL40SiOwFUszTttUlxA,0,16800,65,181
UCRCU-cayVgUUcUwH4Er18mg,0,218404,116,542
UC_blocR9mdcAKJWosVGM2kw,0,34658344,16,0
UCzH3iADRIq1IJlIXjfNgTpA,13835,4888398173,7331,8990183
UCGjz3KPB7n-9LLpl9pDDgkA,7,56035286,109,55620
UCIqip-S1MtfwX_OBthEGU0w,0,63474,78,319
UCA589Ju7weQSfWiJV7WL0rg,0,1141977,217,3922
UCP68YooVxcJnbzlA0bXDazg,0,4926296,340,5304
